detection_id,reader_uwb_id,tag_id,tag_temperature,distance,Location_name,insert_timestamp
877665,23208,54319,34,1.97,OPER_MSE01-1,2022-07-13 08:12:18.343
877666,23208,54319,36,1.91,OPER_MSE01-1,2022-07-13 08:12:18.360
877667,23208,54319,34,2.08,OPER_MSE01-1,2022-07-13 08:12:18.377
877668,23208,54319,34,1.94,OPER_MSE01-1,2022-07-13 08:12:18.487
877669,23208,54319,34,1.91,OPER_MSE01-1,2022-07-13 08:12:18.563
877670,23208,54319,36,2.08,OPER_MSE01-1,2022-07-13 08:12:18.877
877672,23208,54319,34,3.56,OPER_MSE01-1,2022-07-13 08:12:19.063
877671,23208,54319,34,1.89,OPER_MSE01-1,2022-07-13 08:12:19.063
877673,23208,54319,34,4.51,OPER_MSE01-1,2022-07-13 08:12:19.063
877674,23208,54319,36,4.47,OPER_MSE01-1,2022-07-13 08:12:19.080
877675,23208,54319,36,4.54,OPER_MSE01-1,2022-07-13 08:12:19.080
877676,23208,54319,34,4.5,OPER_MSE01-1,2022-07-13 08:12:19.093
877678,23208,54319,36,4.6,OPER_MSE01-1,2022-07-13 08:12:19.093
877677,23208,54319,36,4.49,OPER_MSE01-1,2022-07-13 08:12:19.093
877680,23208,54319,36,4.5,OPER_MSE01-1,2022-07-13 08:12:19.110
877679,23208,54319,36,4.44,OPER_MSE01-1,2022-07-13 08:12:19.110
877681,23208,54319,36,4.36,OPER_MSE01-1,2022-07-13 08:12:19.127
877682,23208,54319,36,4.66,OPER_MSE01-1,2022-07-13 08:12:23.423
877683,23208,54319,36,5.09,OPER_MSE01-1,2022-07-13 08:12:28.453
877684,23208,54319,36,5.77,OPER_MSE01-1,2022-07-13 08:12:33.500
877685,23208,54319,36,4.62,OPER_MSE01-1,2022-07-13 08:12:38.517
877686,23208,54319,36,5.15,OPER_MSE01-1,2022-07-13 08:12:43.533
877687,23208,54319,36,5.27,OPER_MSE01-1,2022-07-13 08:12:48.563
877688,23208,54319,36,5.15,OPER_MSE01-1,2022-07-13 08:12:53.580
877689,23208,54319,36,5.22,OPER_MSE01-1,2022-07-13 08:12:58.610
877690,23208,54319,36,5.2,OPER_MSE01-1,2022-07-13 08:13:03.627
877691,23208,54319,36,5.25,OPER_MSE01-1,2022-07-13 08:13:08.660
877692,23208,54319,36,5.17,OPER_MSE01-1,2022-07-13 08:13:13.690
877693,23208,54319,36,5.36,OPER_MSE01-1,2022-07-13 08:13:18.707
877694,23208,54319,36,5.36,OPER_MSE01-1,2022-07-13 08:13:23.737
877695,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:13:28.753
877696,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:13:33.800
877697,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:13:38.800
877698,23208,54319,36,5.34,OPER_MSE01-1,2022-07-13 08:13:43.830
877699,23208,54319,36,5.39,OPER_MSE01-1,2022-07-13 08:13:48.847
877700,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:13:53.880
877701,23208,54319,36,5.34,OPER_MSE01-1,2022-07-13 08:13:58.927
877702,23208,54319,36,5.35,OPER_MSE01-1,2022-07-13 08:14:03.940
877703,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:14:08.957
877704,23208,54319,36,5.36,OPER_MSE01-1,2022-07-13 08:14:14.207
877705,23208,54319,36,5.42,OPER_MSE01-1,2022-07-13 08:14:19.003
877706,23208,54319,36,5.39,OPER_MSE01-1,2022-07-13 08:14:24.033
877707,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:14:29.067
877708,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:14:34.083
877709,23208,54319,36,5.41,OPER_MSE01-1,2022-07-13 08:14:39.113
877710,23208,54319,36,5.35,OPER_MSE01-1,2022-07-13 08:14:44.143
877711,23208,54319,36,5.34,OPER_MSE01-1,2022-07-13 08:14:49.177
877712,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:14:54.177
877713,23208,54319,37,5.37,OPER_MSE01-1,2022-07-13 08:14:59.223
877714,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:15:04.223
877715,23208,54319,37,5.26,OPER_MSE01-1,2022-07-13 08:15:09.253
877716,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:15:14.287
877717,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:15:19.300
877718,23208,54319,36,5.4,OPER_MSE01-1,2022-07-13 08:15:24.333
877719,23208,54319,36,5.33,OPER_MSE01-1,2022-07-13 08:15:29.380
877720,23208,54319,36,5.31,OPER_MSE01-1,2022-07-13 08:15:34.380
877721,23208,54319,36,5.39,OPER_MSE01-1,2022-07-13 08:15:39.410
877722,23208,54319,36,5.28,OPER_MSE01-1,2022-07-13 08:15:44.427
877723,23208,54319,37,5.35,OPER_MSE01-1,2022-07-13 08:15:49.460
877724,23208,54319,36,5.3,OPER_MSE01-1,2022-07-13 08:15:54.473
877725,23208,54319,36,5.44,OPER_MSE01-1,2022-07-13 08:15:59.507
877726,23208,54319,36,5.42,OPER_MSE01-1,2022-07-13 08:16:04.520
877727,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:16:09.553
877728,23208,54319,37,5.42,OPER_MSE01-1,2022-07-13 08:16:14.583
877729,23208,54319,36,5.35,OPER_MSE01-1,2022-07-13 08:16:19.600
877730,23208,54319,37,5.34,OPER_MSE01-1,2022-07-13 08:16:24.630
877731,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:16:29.680
877732,23208,54319,36,5.34,OPER_MSE01-1,2022-07-13 08:16:34.680
877733,23208,54319,36,5.32,OPER_MSE01-1,2022-07-13 08:16:39.710
877734,23208,54319,36,5.32,OPER_MSE01-1,2022-07-13 08:16:44.727
877735,23208,54319,36,5.36,OPER_MSE01-1,2022-07-13 08:16:49.757
877736,23208,54319,36,5.41,OPER_MSE01-1,2022-07-13 08:16:54.790
877737,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:16:59.803
877738,23208,54319,37,5.36,OPER_MSE01-1,2022-07-13 08:17:04.837
877739,23208,54319,36,5.42,OPER_MSE01-1,2022-07-13 08:17:09.867
877740,23208,54319,36,5.43,OPER_MSE01-1,2022-07-13 08:17:14.883
877741,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:17:19.897
877742,23208,54319,36,5.32,OPER_MSE01-1,2022-07-13 08:17:24.930
877743,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:17:29.960
877744,23208,54319,37,5.34,OPER_MSE01-1,2022-07-13 08:17:35.040
877745,23208,54319,37,5.28,OPER_MSE01-1,2022-07-13 08:17:40.007
877746,23208,54319,36,5.33,OPER_MSE01-1,2022-07-13 08:17:45.040
877747,23208,54319,36,5.4,OPER_MSE01-1,2022-07-13 08:17:50.053
877748,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:17:55.087
877749,23208,54319,36,5.35,OPER_MSE01-1,2022-07-13 08:18:00.100
877750,23208,54319,37,5.24,OPER_MSE01-1,2022-07-13 08:18:05.130
877751,23208,54319,37,5.28,OPER_MSE01-1,2022-07-13 08:18:10.147
877752,23208,54319,36,5.4,OPER_MSE01-1,2022-07-13 08:18:15.180
877753,23208,54319,37,5.4,OPER_MSE01-1,2022-07-13 08:18:20.193
877754,23208,54319,37,5.36,OPER_MSE01-1,2022-07-13 08:18:25.223
877755,23208,54319,36,5.35,OPER_MSE01-1,2022-07-13 08:18:30.240
877756,23208,54319,36,5.31,OPER_MSE01-1,2022-07-13 08:18:35.287
877757,23208,54319,36,5.31,OPER_MSE01-1,2022-07-13 08:18:40.303
877758,23208,54319,37,5.35,OPER_MSE01-1,2022-07-13 08:18:45.333
877759,23208,54319,37,5.42,OPER_MSE01-1,2022-07-13 08:18:50.350
877760,23208,54319,36,5.43,OPER_MSE01-1,2022-07-13 08:18:55.380
877761,23208,54319,36,5.42,OPER_MSE01-1,2022-07-13 08:19:00.410
877762,23208,54319,37,5.37,OPER_MSE01-1,2022-07-13 08:19:05.427
877763,23208,54319,37,5.36,OPER_MSE01-1,2022-07-13 08:19:10.460
877764,23208,54319,36,5.33,OPER_MSE01-1,2022-07-13 08:19:15.473
877765,23208,54319,37,5.39,OPER_MSE01-1,2022-07-13 08:19:20.490
877766,23208,54319,37,5.37,OPER_MSE01-1,2022-07-13 08:19:25.520
877767,23208,54319,36,5.38,OPER_MSE01-1,2022-07-13 08:19:30.550
877768,23208,54319,37,5.4,OPER_MSE01-1,2022-07-13 08:19:35.567
877769,23208,54319,36,5.27,OPER_MSE01-1,2022-07-13 08:19:40.600
877770,23208,54319,37,5.3,OPER_MSE01-1,2022-07-13 08:19:45.630
877771,23208,54319,37,5.41,OPER_MSE01-1,2022-07-13 08:19:50.647
877772,23208,54319,37,5.37,OPER_MSE01-1,2022-07-13 08:19:55.660
877773,23208,54319,37,5.35,OPER_MSE01-1,2022-07-13 08:20:00.723
877774,23208,54319,36,5.34,OPER_MSE01-1,2022-07-13 08:20:05.723
877775,23208,54319,37,5.38,OPER_MSE01-1,2022-07-13 08:20:10.740
877776,23208,54319,37,5.37,OPER_MSE01-1,2022-07-13 08:20:32.067
877777,23208,54319,36,5.42,OPER_MSE01-1,2022-07-13 08:20:32.083
877778,23208,54319,37,5.37,OPER_MSE01-1,2022-07-13 08:20:32.083
877779,23208,54319,37,5.35,OPER_MSE01-1,2022-07-13 08:20:35.880
877780,23208,54319,37,5.4,OPER_MSE01-1,2022-07-13 08:20:38.457
877781,23208,54319,36,5.37,OPER_MSE01-1,2022-07-13 08:20:40.893
877782,23208,54319,36,5.39,OPER_MSE01-1,2022-07-13 08:20:45.927
877783,23208,54319,37,5.36,OPER_MSE01-1,2022-07-13 08:20:50.940
877784,23208,54319,37,5.33,OPER_MSE01-1,2022-07-13 08:20:55.973
877785,23208,54319,36,5.39,OPER_MSE01-1,2022-07-13 08:21:00.990
877786,23208,54319,36,5.44,OPER_MSE01-1,2022-07-13 08:21:06.020
877787,23208,54319,37,8.34,OPER_MSE01-1,2022-07-13 08:21:11.050
877788,23208,54319,36,8.89,OPER_MSE01-1,2022-07-13 08:21:16.050
877789,23208,54319,36,9.12,OPER_MSE01-1,2022-07-13 08:21:21.097
877790,23208,54319,36,9.31,OPER_MSE01-1,2022-07-13 08:21:26.113
877791,23208,54319,37,9.3,OPER_MSE01-1,2022-07-13 08:21:31.143
877792,23208,54319,37,9.3,OPER_MSE01-1,2022-07-13 08:21:36.177
877793,23208,54319,37,9.3,OPER_MSE01-1,2022-07-13 08:21:41.207
877794,23208,54319,36,9.03,OPER_MSE01-1,2022-07-13 08:21:46.207
877795,23208,54319,37,8.85,OPER_MSE01-1,2022-07-13 08:21:51.240
877796,23208,54319,37,6.31,OPER_MSE01-1,2022-07-13 08:21:56.270
877797,23208,54319,36,5.27,OPER_MSE01-1,2022-07-13 08:22:01.300
877798,23208,54319,36,5.24,OPER_MSE01-1,2022-07-13 08:22:06.317
877799,23208,54319,36,5.39,OPER_MSE01-1,2022-07-13 08:22:11.363
877800,23208,54319,36,4.35,OPER_MSE01-1,2022-07-13 08:22:16.363
877801,23208,54319,37,4.41,OPER_MSE01-1,2022-07-13 08:22:21.410
877802,23208,54319,37,4.36,OPER_MSE01-1,2022-07-13 08:22:26.410
877803,23208,54319,37,4.42,OPER_MSE01-1,2022-07-13 08:22:31.440
877804,23208,54319,36,4.39,OPER_MSE01-1,2022-07-13 08:22:36.503
877805,23208,54319,36,4.55,OPER_MSE01-1,2022-07-13 08:22:41.503
877806,23208,54319,37,5.23,OPER_MSE01-1,2022-07-13 08:22:46.503
877807,23208,54319,36,6.24,OPER_MSE01-1,2022-07-13 08:22:51.580
877808,23208,54319,36,6.7,OPER_MSE01-1,2022-07-13 08:22:56.597
877809,23208,54319,37,5.71,OPER_MSE01-1,2022-07-13 08:23:01.597
877810,23208,54319,37,5.69,OPER_MSE01-1,2022-07-13 08:23:06.630
877811,23208,54319,37,5.67,OPER_MSE01-1,2022-07-13 08:23:11.643
877812,23208,54319,37,5.76,OPER_MSE01-1,2022-07-13 08:23:16.677
877813,23208,54319,37,5.62,OPER_MSE01-1,2022-07-13 08:23:21.690
877814,23208,54319,36,5.67,OPER_MSE01-1,2022-07-13 08:23:26.723
877815,23208,54319,37,5.56,OPER_MSE01-1,2022-07-13 08:23:31.753
877816,23208,54319,36,5.7,OPER_MSE01-1,2022-07-13 08:23:36.770
877817,23208,54319,36,5.66,OPER_MSE01-1,2022-07-13 08:23:41.787
877818,23208,54319,36,5.72,OPER_MSE01-1,2022-07-13 08:23:46.817
877819,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:23:51.830
877820,23208,54319,37,5.76,OPER_MSE01-1,2022-07-13 08:23:56.863
877821,23208,54319,37,5.63,OPER_MSE01-1,2022-07-13 08:24:01.893
877822,23208,54319,37,5.69,OPER_MSE01-1,2022-07-13 08:24:06.910
877823,23208,54319,37,5.75,OPER_MSE01-1,2022-07-13 08:24:11.940
877824,23208,54319,37,5.73,OPER_MSE01-1,2022-07-13 08:24:16.957
877825,23208,54319,37,5.72,OPER_MSE01-1,2022-07-13 08:24:21.990
877826,23208,54319,36,5.73,OPER_MSE01-1,2022-07-13 08:24:27.020
877827,23208,54319,37,5.73,OPER_MSE01-1,2022-07-13 08:24:32.083
877828,23208,54319,36,5.66,OPER_MSE01-1,2022-07-13 08:24:37.097
877829,23208,54319,37,5.61,OPER_MSE01-1,2022-07-13 08:24:42.097
877830,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:24:47.113
877831,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:24:52.143
877832,23208,54319,36,5.75,OPER_MSE01-1,2022-07-13 08:24:57.160
877833,23208,54319,37,5.66,OPER_MSE01-1,2022-07-13 08:25:02.190
877834,23208,54319,37,5.7,OPER_MSE01-1,2022-07-13 08:25:07.207
877835,23208,54319,37,5.77,OPER_MSE01-1,2022-07-13 08:25:12.240
877836,23208,54319,37,5.74,OPER_MSE01-1,2022-07-13 08:25:17.253
877837,23208,54319,37,5.74,OPER_MSE01-1,2022-07-13 08:25:22.287
877838,23208,54319,37,5.71,OPER_MSE01-1,2022-07-13 08:25:32.333
877839,23208,54319,37,5.75,OPER_MSE01-1,2022-07-13 08:25:37.380
877840,23208,54319,37,5.76,OPER_MSE01-1,2022-07-13 08:25:42.380
877841,23208,54319,37,5.72,OPER_MSE01-1,2022-07-13 08:25:47.410
877842,23208,54319,37,5.76,OPER_MSE01-1,2022-07-13 08:25:52.427
877843,23208,54319,36,5.76,OPER_MSE01-1,2022-07-13 08:25:57.457
877844,23208,54319,37,5.76,OPER_MSE01-1,2022-07-13 08:26:02.723
877845,23208,54319,36,5.65,OPER_MSE01-1,2022-07-13 08:26:07.507
877846,23208,54319,37,5.7,OPER_MSE01-1,2022-07-13 08:26:12.520
877847,23208,54319,37,5.7,OPER_MSE01-1,2022-07-13 08:26:17.550
877848,23208,54319,37,5.7,OPER_MSE01-1,2022-07-13 08:26:22.583
877849,23208,54319,37,5.69,OPER_MSE01-1,2022-07-13 08:26:27.600
877850,23208,54319,37,5.71,OPER_MSE01-1,2022-07-13 08:26:32.630
877851,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:26:37.660
877852,23208,54319,37,5.72,OPER_MSE01-1,2022-07-13 08:26:42.677
877853,23208,54319,37,5.7,OPER_MSE01-1,2022-07-13 08:26:47.710
877854,23208,54319,37,5.67,OPER_MSE01-1,2022-07-13 08:26:52.723
877855,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:26:57.757
877856,23208,54319,37,5.72,OPER_MSE01-1,2022-07-13 08:27:02.787
877857,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:27:07.803
877858,23208,54319,37,5.69,OPER_MSE01-1,2022-07-13 08:27:12.833
877859,23208,54319,37,5.7,OPER_MSE01-1,2022-07-13 08:27:17.850
877860,23208,54319,36,5.68,OPER_MSE01-1,2022-07-13 08:27:22.880
877861,23208,54319,37,5.65,OPER_MSE01-1,2022-07-13 08:27:27.897
877862,23208,54319,37,5.66,OPER_MSE01-1,2022-07-13 08:27:32.943
877863,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:27:37.973
877864,23208,54319,37,5.65,OPER_MSE01-1,2022-07-13 08:27:42.973
877865,23208,54319,37,5.68,OPER_MSE01-1,2022-07-13 08:27:48.007
877866,23208,54319,37,5.74,OPER_MSE01-1,2022-07-13 08:27:53.037
877867,23208,54319,37,5.67,OPER_MSE01-1,2022-07-13 08:27:58.053
877868,23208,54319,37,5.67,OPER_MSE01-1,2022-07-13 08:28:03.083
877869,23208,54319,37,5.63,OPER_MSE01-1,2022-07-13 08:28:08.117
877870,23208,54319,37,5.62,OPER_MSE01-1,2022-07-13 08:28:13.130
877871,23208,54319,37,5.63,OPER_MSE01-1,2022-07-13 08:28:18.147
877872,23208,54319,37,5.72,OPER_MSE01-1,2022-07-13 08:28:23.180
877873,23208,54319,37,5.74,OPER_MSE01-1,2022-07-13 08:28:28.210
877874,23208,54319,36,5.72,OPER_MSE01-1,2022-07-13 08:28:33.287
877875,23208,54319,37,5.65,OPER_MSE01-1,2022-07-13 08:28:38.257
877876,23208,54319,37,5.73,OPER_MSE01-1,2022-07-13 08:28:43.270
877877,23208,54319,36,5.67,OPER_MSE01-1,2022-07-13 08:28:48.303
877878,23208,54319,37,5.69,OPER_MSE01-1,2022-07-13 08:28:53.320
877879,23208,54319,37,5.76,OPER_MSE01-1,2022-07-13 08:28:58.350
877880,23208,54319,37,6.39,OPER_MSE01-1,2022-07-13 08:29:03.380
877881,23208,54319,37,8.48,OPER_MSE01-1,2022-07-13 08:29:08.397
877882,23208,54319,37,8.72,OPER_MSE01-1,2022-07-13 08:29:13.413
877883,23208,54319,37,8.87,OPER_MSE01-1,2022-07-13 08:29:18.460
